product,total_sales,date,region
pink morsel,1638.0,06/02/2018,north
pink morsel,1647.0,06/02/2018,south
pink morsel,1731.0,06/02/2018,east
pink morsel,1557.0,06/02/2018,west
pink morsel,1587.0,07/02/2018,north
pink morsel,1698.0,07/02/2018,south
pink morsel,1542.0,07/02/2018,east
pink morsel,1635.0,07/02/2018,west
pink morsel,1602.0,08/02/2018,north
pink morsel,1536.0,08/02/2018,south
pink morsel,1503.0,08/02/2018,east
pink morsel,1701.0,08/02/2018,west
pink morsel,1758.0,09/02/2018,north
pink morsel,1662.0,09/02/2018,south
pink morsel,1782.0,09/02/2018,east
pink morsel,1515.0,09/02/2018,west
pink morsel,1662.0,10/02/2018,north
pink morsel,1557.0,10/02/2018,south
pink morsel,1650.0,10/02/2018,east
pink morsel,1674.0,10/02/2018,west
pink morsel,1554.0,11/02/2018,north
pink morsel,1587.0,11/02/2018,south
pink morsel,1563.0,11/02/2018,east
pink morsel,1764.0,11/02/2018,west
pink morsel,1758.0,12/02/2018,north
pink morsel,1608.0,12/02/2018,south
pink morsel,1569.0,12/02/2018,east
pink morsel,1653.0,12/02/2018,west
pink morsel,1572.0,13/02/2018,north
pink morsel,1716.0,13/02/2018,south
pink morsel,1773.0,13/02/2018,east
pink morsel,1725.0,13/02/2018,west
pink morsel,1767.0,14/02/2018,north
pink morsel,1710.0,14/02/2018,south
pink morsel,1698.0,14/02/2018,east
pink morsel,1512.0,14/02/2018,west
pink morsel,1746.0,15/02/2018,north
pink morsel,1734.0,15/02/2018,south
pink morsel,1524.0,15/02/2018,east
pink morsel,1614.0,15/02/2018,west
pink morsel,1578.0,16/02/2018,north
pink morsel,1782.0,16/02/2018,south
pink morsel,1527.0,16/02/2018,east
pink morsel,1752.0,16/02/2018,west
pink morsel,1785.0,17/02/2018,north
pink morsel,1689.0,17/02/2018,south
pink morsel,1641.0,17/02/2018,east
pink morsel,1575.0,17/02/2018,west
pink morsel,1644.0,18/02/2018,north
pink morsel,1674.0,18/02/2018,south
pink morsel,1551.0,18/02/2018,east
pink morsel,1737.0,18/02/2018,west
pink morsel,1563.0,19/02/2018,north
pink morsel,1647.0,19/02/2018,south
pink morsel,1605.0,19/02/2018,east
pink morsel,1539.0,19/02/2018,west
pink morsel,1698.0,20/02/2018,north
pink morsel,1575.0,20/02/2018,south
pink morsel,1500.0,20/02/2018,east
pink morsel,1551.0,20/02/2018,west
pink morsel,1737.0,21/02/2018,north
pink morsel,1542.0,21/02/2018,south
pink morsel,1665.0,21/02/2018,east
pink morsel,1548.0,21/02/2018,west
pink morsel,1635.0,22/02/2018,north
pink morsel,1632.0,22/02/2018,south
pink morsel,1668.0,22/02/2018,east
pink morsel,1764.0,22/02/2018,west
pink morsel,1533.0,23/02/2018,north
pink morsel,1563.0,23/02/2018,south
pink morsel,1641.0,23/02/2018,east
pink morsel,1773.0,23/02/2018,west
pink morsel,1629.0,24/02/2018,north
pink morsel,1698.0,24/02/2018,south
pink morsel,1725.0,24/02/2018,east
pink morsel,1722.0,24/02/2018,west
pink morsel,1596.0,25/02/2018,north
pink morsel,1710.0,25/02/2018,south
pink morsel,1635.0,25/02/2018,east
pink morsel,1659.0,25/02/2018,west
pink morsel,1686.0,26/02/2018,north
pink morsel,1533.0,26/02/2018,south
pink morsel,1524.0,26/02/2018,east
pink morsel,1530.0,26/02/2018,west
pink morsel,1665.0,27/02/2018,north
